acc,bal_acc,n,subject,rung,model,task
0.6904761904761905,0.6904761904761905,42,74,1-within-subject,ts_logreg,executed
0.5116279069767442,0.5119047619047619,43,75,1-within-subject,ts_logreg,executed
0.8095238095238095,0.8095238095238095,42,76,1-within-subject,ts_logreg,executed
0.7209302325581395,0.7130434782608696,43,77,1-within-subject,ts_logreg,executed
0.675,0.6704260651629073,40,79,1-within-subject,ts_logreg,executed
0.4444444444444444,0.441699604743083,45,80,1-within-subject,ts_logreg,executed
0.7555555555555555,0.7539525691699605,45,82,1-within-subject,ts_logreg,executed
0.46511627906976744,0.48043478260869565,43,84,1-within-subject,ts_logreg,executed
0.7111111111111111,0.7114624505928854,45,85,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6547619047619048,45,87,1-within-subject,ts_logreg,executed
0.6444444444444445,0.6279761904761905,45,90,1-within-subject,ts_logreg,executed
0.7111111111111111,0.708498023715415,45,93,1-within-subject,ts_logreg,executed
0.8444444444444444,0.8458498023715415,45,94,1-within-subject,ts_logreg,executed
0.5681818181818182,0.5683229813664596,44,95,1-within-subject,ts_logreg,executed
0.7804878048780488,0.7773809523809524,41,96,1-within-subject,ts_logreg,executed
0.7333333333333333,0.7312252964426877,45,97,1-within-subject,ts_logreg,executed
0.5263157894736842,0.525,38,99,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6666666666666667,42,102,1-within-subject,ts_logreg,executed
0.8888888888888888,0.8869047619047619,45,105,1-within-subject,ts_logreg,executed
0.575,0.5776942355889725,40,107,1-within-subject,ts_logreg,executed
0.7,0.6992481203007519,40,108,1-within-subject,ts_logreg,executed
0.6153846153846154,0.6105263157894737,39,109,1-within-subject,ts_logreg,executed
0.6444444444444445,0.6521739130434783,45,1,2-loso,ts_logreg,imagery
0.7555555555555555,0.7559288537549407,45,1,2b-loso-recentered,ts_logreg_recentered,imagery
0.8888888888888888,0.8883399209486166,45,2,2-loso,ts_logreg,imagery
0.8666666666666667,0.866600790513834,45,2,2b-loso-recentered,ts_logreg_recentered,imagery
0.5111111111111111,0.5,45,3,2-loso,ts_logreg,imagery
0.5333333333333333,0.5355731225296443,45,3,2b-loso-recentered,ts_logreg_recentered,imagery
0.4888888888888889,0.5,45,4,2-loso,ts_logreg,imagery
0.5777777777777777,0.5780632411067194,45,4,2b-loso-recentered,ts_logreg_recentered,imagery
0.5555555555555556,0.5535714285714286,45,5,2-loso,ts_logreg,imagery
0.4888888888888889,0.4910714285714286,45,5,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5227272727272727,45,7,2-loso,ts_logreg,imagery
0.9777777777777777,0.9782608695652174,45,7,2b-loso-recentered,ts_logreg_recentered,imagery
0.5952380952380952,0.5772727272727273,42,9,2-loso,ts_logreg,imagery
0.4523809523809524,0.4545454545454546,42,9,2b-loso-recentered,ts_logreg_recentered,imagery
0.5555555555555556,0.5773809523809523,45,10,2-loso,ts_logreg,imagery
0.7111111111111111,0.7023809523809523,45,10,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.599802371541502,45,11,2-loso,ts_logreg,imagery
0.5777777777777777,0.5780632411067194,45,11,2b-loso-recentered,ts_logreg_recentered,imagery
0.4666666666666667,0.4970238095238095,45,12,2-loso,ts_logreg,imagery
0.5777777777777777,0.5863095238095238,45,12,2b-loso-recentered,ts_logreg_recentered,imagery
0.8571428571428571,0.8512820512820514,28,13,2-loso,ts_logreg,imagery
0.7857142857142857,0.7846153846153847,28,13,2b-loso-recentered,ts_logreg_recentered,imagery
0.4888888888888889,0.4990118577075099,45,14,2-loso,ts_logreg,imagery
0.6444444444444445,0.6432806324110671,45,14,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.5909090909090909,45,15,2-loso,ts_logreg,imagery
0.7555555555555555,0.7569169960474309,45,15,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5237154150197628,45,16,2-loso,ts_logreg,imagery
0.5555555555555556,0.5553359683794465,45,16,2b-loso-recentered,ts_logreg_recentered,imagery
0.5777777777777777,0.575098814229249,45,18,2-loso,ts_logreg,imagery
0.5555555555555556,0.5553359683794465,45,18,2b-loso-recentered,ts_logreg_recentered,imagery
0.7,0.7121212121212122,40,19,2-loso,ts_logreg,imagery
0.7,0.702020202020202,40,19,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.5948616600790514,45,20,2-loso,ts_logreg,imagery
0.6666666666666666,0.6660079051383399,45,20,2b-loso-recentered,ts_logreg_recentered,imagery
0.5,0.5222222222222223,38,21,2-loso,ts_logreg,imagery
0.5263157894736842,0.5305555555555556,38,21,2b-loso-recentered,ts_logreg_recentered,imagery
0.7333333333333333,0.733201581027668,45,23,2-loso,ts_logreg,imagery
0.6888888888888889,0.6887351778656126,45,23,2b-loso-recentered,ts_logreg_recentered,imagery
0.631578947368421,0.6106442577030813,38,24,2-loso,ts_logreg,imagery
0.5263157894736842,0.5210084033613445,38,24,2b-loso-recentered,ts_logreg_recentered,imagery
0.4444444444444444,0.43873517786561267,45,25,2-loso,ts_logreg,imagery
0.5555555555555556,0.5563241106719368,45,25,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5424901185770751,45,28,2-loso,ts_logreg,imagery
0.4222222222222222,0.42193675889328064,45,28,2b-loso-recentered,ts_logreg_recentered,imagery
0.9333333333333333,0.9337944664031621,45,29,2-loso,ts_logreg,imagery
0.9333333333333333,0.9337944664031621,45,29,2b-loso-recentered,ts_logreg_recentered,imagery
0.5777777777777777,0.5654761904761905,45,30,2-loso,ts_logreg,imagery
0.5777777777777777,0.5773809523809523,45,30,2b-loso-recentered,ts_logreg_recentered,imagery
0.7333333333333333,0.7282608695652174,45,31,2-loso,ts_logreg,imagery
0.8666666666666667,0.866600790513834,45,31,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5,45,32,2-loso,ts_logreg,imagery
0.7555555555555555,0.7619047619047619,45,32,2b-loso-recentered,ts_logreg_recentered,imagery
0.7333333333333333,0.7272727272727273,45,33,2-loso,ts_logreg,imagery
0.7333333333333333,0.7351778656126482,45,33,2b-loso-recentered,ts_logreg_recentered,imagery
0.7906976744186046,0.7878787878787878,43,34,2-loso,ts_logreg,imagery
0.813953488372093,0.8160173160173161,43,34,2b-loso-recentered,ts_logreg_recentered,imagery
0.5111111111111111,0.5217391304347826,45,35,2-loso,ts_logreg,imagery
0.7333333333333333,0.733201581027668,45,35,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5227272727272727,45,36,2-loso,ts_logreg,imagery
0.6222222222222222,0.6215415019762847,45,36,2b-loso-recentered,ts_logreg_recentered,imagery
0.5116279069767442,0.5,43,37,2-loso,ts_logreg,imagery
0.5581395348837209,0.5573593073593074,43,37,2b-loso-recentered,ts_logreg_recentered,imagery
0.4634146341463415,0.4784688995215311,41,39,2-loso,ts_logreg,imagery
0.5609756097560976,0.5586124401913876,41,39,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5178571428571428,45,40,2-loso,ts_logreg,imagery
0.37777777777777777,0.37797619047619047,45,40,2b-loso-recentered,ts_logreg_recentered,imagery
0.7045454545454546,0.7111801242236024,44,41,2-loso,ts_logreg,imagery
0.7045454545454546,0.7028985507246377,44,41,2b-loso-recentered,ts_logreg_recentered,imagery
0.8666666666666667,0.8685770750988142,45,42,2-loso,ts_logreg,imagery
0.8666666666666667,0.8675889328063241,45,42,2b-loso-recentered,ts_logreg_recentered,imagery
0.7333333333333333,0.7381422924901186,45,43,2-loso,ts_logreg,imagery
0.8,0.8003952569169961,45,43,2b-loso-recentered,ts_logreg_recentered,imagery
0.6764705882352942,0.6614035087719299,34,44,2-loso,ts_logreg,imagery
0.6470588235294118,0.6491228070175439,34,44,2b-loso-recentered,ts_logreg_recentered,imagery
0.5777777777777777,0.5869565217391304,45,45,2-loso,ts_logreg,imagery
0.6444444444444445,0.6472332015810276,45,45,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5316205533596838,45,46,2-loso,ts_logreg,imagery
0.5111111111111111,0.5108695652173914,45,46,2b-loso-recentered,ts_logreg_recentered,imagery
0.6222222222222222,0.6130952380952381,45,47,2-loso,ts_logreg,imagery
0.6222222222222222,0.6160714285714286,45,47,2b-loso-recentered,ts_logreg_recentered,imagery
0.7058823529411765,0.7083333333333333,34,48,2-loso,ts_logreg,imagery
0.7058823529411765,0.7048611111111112,34,48,2b-loso-recentered,ts_logreg_recentered,imagery
0.5813953488372093,0.5898268398268398,43,49,2-loso,ts_logreg,imagery
0.627906976744186,0.6266233766233766,43,49,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.6027667984189724,45,50,2-loso,ts_logreg,imagery
0.5777777777777777,0.5770750988142292,45,50,2b-loso-recentered,ts_logreg_recentered,imagery
0.6222222222222222,0.6071428571428572,45,51,2-loso,ts_logreg,imagery
0.6444444444444445,0.6458333333333333,45,51,2b-loso-recentered,ts_logreg_recentered,imagery
0.6744186046511628,0.6699134199134199,43,52,2-loso,ts_logreg,imagery
0.6744186046511628,0.6742424242424242,43,52,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.6007905138339921,45,53,2-loso,ts_logreg,imagery
0.6444444444444445,0.6442687747035574,45,53,2b-loso-recentered,ts_logreg_recentered,imagery
0.5227272727272727,0.541407867494824,44,54,2-loso,ts_logreg,imagery
0.7045454545454546,0.7070393374741201,44,54,2b-loso-recentered,ts_logreg_recentered,imagery
0.8666666666666667,0.866600790513834,45,55,2-loso,ts_logreg,imagery
0.8666666666666667,0.8675889328063241,45,55,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5625,45,58,2-loso,ts_logreg,imagery
0.5333333333333333,0.5327380952380952,45,58,2b-loso-recentered,ts_logreg_recentered,imagery
0.5333333333333333,0.5,45,59,2-loso,ts_logreg,imagery
0.4444444444444444,0.44345238095238093,45,59,2b-loso-recentered,ts_logreg_recentered,imagery
0.7727272727272727,0.7727272727272727,44,60,2-loso,ts_logreg,imagery
0.8409090909090909,0.8409090909090909,44,60,2b-loso-recentered,ts_logreg_recentered,imagery
0.75,0.75,40,61,2-loso,ts_logreg,imagery
0.775,0.775,40,61,2b-loso-recentered,ts_logreg_recentered,imagery
0.6222222222222222,0.6146245059288538,45,62,2-loso,ts_logreg,imagery
0.8666666666666667,0.8656126482213439,45,62,2b-loso-recentered,ts_logreg_recentered,imagery
0.4772727272727273,0.48964803312629396,44,64,2-loso,ts_logreg,imagery
0.5454545454545454,0.5424430641821947,44,64,2b-loso-recentered,ts_logreg_recentered,imagery
0.5555555555555556,0.5714285714285714,45,65,2-loso,ts_logreg,imagery
0.6222222222222222,0.6279761904761905,45,65,2b-loso-recentered,ts_logreg_recentered,imagery
0.4888888888888889,0.4980237154150198,45,67,2-loso,ts_logreg,imagery
0.5555555555555556,0.5563241106719368,45,67,2b-loso-recentered,ts_logreg_recentered,imagery
0.6444444444444445,0.6383399209486166,45,68,2-loso,ts_logreg,imagery
0.6444444444444445,0.6452569169960474,45,68,2b-loso-recentered,ts_logreg_recentered,imagery
0.6,0.5922619047619048,45,69,2-loso,ts_logreg,imagery
0.6222222222222222,0.6220238095238095,45,69,2b-loso-recentered,ts_logreg_recentered,imagery
0.7111111111111111,0.7164031620553359,45,70,2-loso,ts_logreg,imagery
0.8,0.8003952569169961,45,70,2b-loso-recentered,ts_logreg_recentered,imagery
0.8604651162790697,0.8614718614718615,43,72,2-loso,ts_logreg,imagery
0.9302325581395349,0.9296536796536796,43,72,2b-loso-recentered,ts_logreg_recentered,imagery
